variant,alpha_late,beta_fn,gamma_fp,f1,balanced_acc,precision,recall,specificity,fpr,fnr,avg_early_detection,avg_late_detection,early_detection_rate,composite
B,2.0,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,2.0,300,150,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,2.0,300,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,2.0,450,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,7.0,3.0,0.42857142857142855,0.8238095238095239
B,2.0,450,200,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.4,3.0,0.47619047619047616,0.8690476190476191
B,2.0,450,300,0.9285714285714286,0.8928571428571428,0.9285714285714286,0.9285714285714286,0.8571428571428571,0.14285714285714285,0.07142857142857142,7.3,3.0,0.47619047619047616,0.8690476190476191
C,0.5,225,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
C,0.5,225,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
C,0.5,300,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
C,0.5,300,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
C,0.5,450,150,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
C,0.5,450,200,0.888888888888889,0.8571428571428571,0.9230769230769231,0.8571428571428571,0.8571428571428571,0.14285714285714285,0.14285714285714285,8.6,2.0,0.47619047619047616,0.8285714285714287
